1 , INDIVIDUAL , BAÑERA , SI , 1
1512 , DOBLE , BAÑERA , SI , 34
1513 , INDIVIDUAL , DUCHA , NO , 34
1514 , INDIVIDUAL , DUCHA , NO , 34
1515 , DOBLE , BAÑERA , SI , 34
1516 , TRIPLE , DUCHA , SI , 34
1517 , INDIVIDUAL , DUCHA , SI , 34
1518 , INDIVIDUAL , BAÑERA , NO , 34
1519 , DOBLE , DUCHA , NO , 34
1520 , DOBLE , DUCHA , SI , 34
1521 , INDIVIDUAL , BAÑERA , NO , 34
1522 , SUITE , JACUZZI , NO , 34
1523 , INDIVIDUAL , BAÑERA , NO , 34
1524 , DOBLE , BAÑERA , SI , 34
1525 , DOBLE , BAÑERA , NO , 34
1526 , DOBLE , DUCHA , SI , 34
1527 , SUITE , BAÑERA , NO , 34
1528 , INDIVIDUAL , BAÑERA , NO , 34
1529 , TWIN , BAÑERA , NO , 34
1530 , INDIVIDUAL , BAÑERA , NO , 34
1531 , SUITE , DUCHA , SI , 35
1532 , DOBLE , DUCHA , NO , 35
1533 , DOBLE , DUCHA , SI , 35
1534 , INDIVIDUAL , BAÑERA , NO , 35
1535 , DOBLE , DUCHA , NO , 35
1536 , DOBLE , BAÑERA , SI , 35
1537 , INDIVIDUAL , DUCHA , NO , 35
1538 , DOBLE , BAÑERA , NO , 35
1539 , INDIVIDUAL , DUCHA , NO , 35
1540 , INDIVIDUAL , BAÑERA , NO , 35
1541 , DOBLE , DUCHA , SI , 35
1542 , DOBLE , DUCHA , NO , 35
1543 , DOBLE , DUCHA , NO , 35
1544 , DOBLE , DUCHA , NO , 35
1545 , INDIVIDUAL , BAÑERA , NO , 35
1546 , DOBLE , DUCHA , NO , 35
1547 , DOBLE , BAÑERA , NO , 35
1548 , DOBLE , DUCHA , NO , 35
1549 , DOBLE , BAÑERA , NO , 35
1550 , INDIVIDUAL , DUCHA , SI , 35
1551 , DOBLE , DUCHA , NO , 35
1552 , DOBLE , DUCHA , SI , 35
1553 , INDIVIDUAL , BAÑERA , NO , 35
1554 , DOBLE , BAÑERA , NO , 35
1555 , DOBLE , DUCHA , NO , 35
1556 , DOBLE , BAÑERA , NO , 35
1557 , DOBLE , DUCHA , NO , 35
1558 , DOBLE , BAÑERA , NO , 35
1559 , DOBLE , BAÑERA , SI , 35
1560 , TWIN , DUCHA , NO , 35
1561 , TWIN , BAÑERA , SI , 35
1562 , DOBLE , DUCHA , NO , 35
1563 , INDIVIDUAL , BAÑERA , NO , 35
1564 , DOBLE , DUCHA , SI , 35
1565 , INDIVIDUAL , BAÑERA , NO , 35
1566 , TRIPLE , BAÑERA , SI , 35
1567 , DOBLE , BAÑERA , SI , 35
1568 , DOBLE , BAÑERA , NO , 35
1569 , SUITE , DUCHA , SI , 35
1570 , DOBLE , BAÑERA , NO , 35
1571 , DOBLE , BAÑERA , NO , 35
1572 , DOBLE , BAÑERA , NO , 35
1573 , DOBLE , BAÑERA , NO , 35
1574 , DOBLE , BAÑERA , NO , 35
1575 , DOBLE , BAÑERA , NO , 35
1576 , DOBLE , DUCHA , NO , 35
1577 , TRIPLE , JACUZZI , NO , 35
1578 , INDIVIDUAL , DUCHA , NO , 35
1579 , DOBLE , DUCHA , NO , 35
1580 , DOBLE , BAÑERA , NO , 35
1581 , DOBLE , BAÑERA , NO , 36
1582 , INDIVIDUAL , JACUZZI , NO , 36
1583 , DOBLE , DUCHA , NO , 36
1584 , INDIVIDUAL , BAÑERA , NO , 36
1585 , DOBLE , DUCHA , NO , 36
1586 , TRIPLE , BAÑERA , NO , 36
1587 , DOBLE , JACUZZI , NO , 36
1588 , SUITE , DUCHA , NO , 36
1589 , DOBLE , DUCHA , NO , 36
1590 , INDIVIDUAL , BAÑERA , NO , 36
1591 , DOBLE , DUCHA , SI , 36
1592 , INDIVIDUAL , BAÑERA , NO , 36
1593 , DOBLE , BAÑERA , NO , 36
1594 , DOBLE , DUCHA , NO , 36
1595 , DOBLE , DUCHA , NO , 36
1596 , INDIVIDUAL , DUCHA , NO , 36
1597 , DOBLE , BAÑERA , SI , 36
1598 , DOBLE , BAÑERA , NO , 36
1599 , TWIN , JACUZZI , NO , 36
1600 , DOBLE , DUCHA , NO , 36
1601 , DOBLE , BAÑERA , SI , 36
1602 , DOBLE , DUCHA , NO , 36
1603 , TRIPLE , DUCHA , NO , 36
1604 , DOBLE , BAÑERA , NO , 36
1605 , DOBLE , DUCHA , NO , 36
1606 , DOBLE , BAÑERA , NO , 36
1607 , DOBLE , DUCHA , NO , 36
1608 , DOBLE , DUCHA , NO , 36
1609 , DOBLE , DUCHA , NO , 36
1610 , TWIN , DUCHA , NO , 36
1611 , DOBLE , DUCHA , NO , 36
1612 , DOBLE , DUCHA , NO , 36
1613 , DOBLE , BAÑERA , NO , 36
1614 , INDIVIDUAL , DUCHA , NO , 36
1615 , INDIVIDUAL , BAÑERA , NO , 36
1616 , INDIVIDUAL , DUCHA , SI , 36
1617 , SUITE , DUCHA , NO , 36
1618 , INDIVIDUAL , BAÑERA , NO , 36
1619 , INDIVIDUAL , DUCHA , NO , 36
1620 , DOBLE , DUCHA , SI , 36
1621 , TRIPLE , DUCHA , NO , 36
1622 , INDIVIDUAL , DUCHA , NO , 36
1623 , DOBLE , BAÑERA , NO , 36
1624 , INDIVIDUAL , DUCHA , NO , 36
1625 , DOBLE , BAÑERA , NO , 36
1626 , DOBLE , DUCHA , SI , 36
1627 , INDIVIDUAL , DUCHA , NO , 36
1628 , TWIN , BAÑERA , NO , 36
1629 , INDIVIDUAL , BAÑERA , NO , 36
1630 , SUITE , BAÑERA , NO , 36
1631 , INDIVIDUAL , BAÑERA , NO , 37
1632 , INDIVIDUAL , JACUZZI , NO , 37
1633 , INDIVIDUAL , DUCHA , NO , 37
1634 , DOBLE , JACUZZI , NO , 37
1635 , DOBLE , DUCHA , NO , 37
1636 , TWIN , DUCHA , NO , 37
1637 , INDIVIDUAL , DUCHA , NO , 37
1638 , INDIVIDUAL , BAÑERA , NO , 37
1639 , DOBLE , DUCHA , SI , 37
1640 , TWIN , DUCHA , SI , 37
1641 , DOBLE , DUCHA , SI , 37
1642 , INDIVIDUAL , BAÑERA , SI , 37
1643 , INDIVIDUAL , DUCHA , SI , 37
1644 , TRIPLE , DUCHA , NO , 37
1645 , DOBLE , BAÑERA , SI , 37
1646 , DOBLE , JACUZZI , NO , 37
1647 , INDIVIDUAL , JACUZZI , NO , 37
1648 , DOBLE , BAÑERA , NO , 37
1649 , TWIN , DUCHA , NO , 37
1650 , DOBLE , BAÑERA , SI , 37
1651 , DOBLE , DUCHA , NO , 37
1652 , INDIVIDUAL , DUCHA , NO , 37
1653 , TWIN , DUCHA , SI , 37
1654 , INDIVIDUAL , BAÑERA , NO , 37
1655 , INDIVIDUAL , DUCHA , SI , 37
1656 , TWIN , JACUZZI , SI , 37
1657 , INDIVIDUAL , DUCHA , NO , 37
1658 , DOBLE , JACUZZI , NO , 37
1659 , DOBLE , BAÑERA , NO , 37
1660 , INDIVIDUAL , JACUZZI , NO , 37
1661 , INDIVIDUAL , DUCHA , NO , 37
1662 , TWIN , DUCHA , NO , 37
1663 , DOBLE , DUCHA , NO , 37
1664 , DOBLE , DUCHA , NO , 37
1665 , DOBLE , DUCHA , NO , 37
1666 , DOBLE , DUCHA , SI , 37
1667 , INDIVIDUAL , BAÑERA , NO , 37
1668 , TWIN , BAÑERA , SI , 37
1669 , INDIVIDUAL , JACUZZI , NO , 37
1670 , INDIVIDUAL , BAÑERA , SI , 37
1671 , DOBLE , DUCHA , NO , 37
1672 , DOBLE , BAÑERA , NO , 37
1673 , TWIN , DUCHA , NO , 37
1674 , INDIVIDUAL , DUCHA , NO , 37
1675 , DOBLE , DUCHA , NO , 37
1676 , INDIVIDUAL , DUCHA , NO , 37
1677 , INDIVIDUAL , BAÑERA , NO , 37
1678 , DOBLE , DUCHA , NO , 37
1679 , DOBLE , BAÑERA , NO , 37
1680 , DOBLE , DUCHA , SI , 37
1681 , SUITE , BAÑERA , NO , 38
1682 , INDIVIDUAL , BAÑERA , NO , 38
1683 , INDIVIDUAL , DUCHA , SI , 38
1684 , INDIVIDUAL , BAÑERA , SI , 38
1685 , TRIPLE , DUCHA , NO , 38
1686 , DOBLE , DUCHA , NO , 38
1687 , DOBLE , BAÑERA , SI , 38
1688 , TWIN , BAÑERA , NO , 38
1689 , INDIVIDUAL , DUCHA , NO , 38
1690 , DOBLE , BAÑERA , SI , 38
1691 , DOBLE , BAÑERA , NO , 38
1692 , DOBLE , BAÑERA , NO , 38
1693 , INDIVIDUAL , BAÑERA , NO , 38
1694 , INDIVIDUAL , JACUZZI , NO , 38
1695 , INDIVIDUAL , DUCHA , NO , 38
1696 , INDIVIDUAL , DUCHA , NO , 38
1697 , DOBLE , JACUZZI , NO , 38
1698 , DOBLE , DUCHA , NO , 38
1699 , DOBLE , BAÑERA , NO , 38
1700 , DOBLE , BAÑERA , NO , 38
1701 , INDIVIDUAL , DUCHA , NO , 38
1702 , DOBLE , DUCHA , NO , 38
1703 , TRIPLE , BAÑERA , NO , 38
1704 , DOBLE , JACUZZI , SI , 38
1705 , TWIN , BAÑERA , NO , 38
1706 , TWIN , BAÑERA , SI , 38
1707 , DOBLE , BAÑERA , NO , 38
1708 , INDIVIDUAL , DUCHA , NO , 38
1709 , INDIVIDUAL , DUCHA , NO , 38
1710 , DOBLE , BAÑERA , NO , 38
1711 , TRIPLE , JACUZZI , NO , 38
1712 , DOBLE , BAÑERA , NO , 38
1713 , DOBLE , BAÑERA , SI , 38
1714 , INDIVIDUAL , JACUZZI , SI , 38
1715 , DOBLE , JACUZZI , NO , 38
1716 , DOBLE , DUCHA , NO , 38
1717 , INDIVIDUAL , BAÑERA , SI , 38
1718 , DOBLE , BAÑERA , SI , 38
1719 , INDIVIDUAL , DUCHA , NO , 38
1720 , DOBLE , BAÑERA , SI , 38
1721 , DOBLE , DUCHA , NO , 38
1722 , DOBLE , DUCHA , NO , 38
1723 , TRIPLE , BAÑERA , NO , 38
1724 , INDIVIDUAL , BAÑERA , NO , 38
1725 , DOBLE , BAÑERA , NO , 38
1726 , SUITE , BAÑERA , NO , 38
1727 , INDIVIDUAL , BAÑERA , NO , 38
1728 , DOBLE , BAÑERA , NO , 38
1729 , INDIVIDUAL , BAÑERA , NO , 38
1730 , DOBLE , DUCHA , NO , 38
1731 , INDIVIDUAL , BAÑERA , NO , 38
1732 , INDIVIDUAL , BAÑERA , NO , 38
1733 , TWIN , DUCHA , NO , 38
1734 , DOBLE , DUCHA , NO , 38
1735 , DOBLE , BAÑERA , NO , 38
1736 , SUITE , BAÑERA , NO , 38
1737 , DOBLE , DUCHA , NO , 38
1738 , SUITE , DUCHA , NO , 38
1739 , INDIVIDUAL , DUCHA , NO , 38
1740 , DOBLE , BAÑERA , NO , 38
1741 , DOBLE , DUCHA , NO , 39
1742 , DOBLE , BAÑERA , NO , 39
1743 , INDIVIDUAL , DUCHA , NO , 39
1744 , DOBLE , DUCHA , SI , 39
1745 , DOBLE , JACUZZI , NO , 39
1746 , DOBLE , BAÑERA , NO , 39
1747 , DOBLE , DUCHA , SI , 39
1748 , INDIVIDUAL , DUCHA , NO , 39
1749 , DOBLE , DUCHA , NO , 39
1750 , INDIVIDUAL , DUCHA , NO , 39
1751 , INDIVIDUAL , BAÑERA , NO , 39
1752 , DOBLE , BAÑERA , NO , 39
1753 , SUITE , DUCHA , NO , 39
1754 , INDIVIDUAL , BAÑERA , SI , 39
1755 , INDIVIDUAL , DUCHA , NO , 39
1756 , DOBLE , BAÑERA , NO , 39
1757 , INDIVIDUAL , DUCHA , SI , 39
1758 , DOBLE , DUCHA , SI , 39
1759 , DOBLE , BAÑERA , NO , 39
1760 , DOBLE , JACUZZI , NO , 39
1761 , DOBLE , DUCHA , SI , 39
1762 , DOBLE , DUCHA , SI , 39
1763 , DOBLE , DUCHA , NO , 39
1764 , DOBLE , BAÑERA , NO , 39
1765 , DOBLE , DUCHA , NO , 39
1766 , DOBLE , BAÑERA , NO , 39
1767 , SUITE , DUCHA , NO , 39
1768 , DOBLE , DUCHA , SI , 39
1769 , DOBLE , BAÑERA , SI , 39
1770 , DOBLE , DUCHA , NO , 39
1771 , DOBLE , JACUZZI , NO , 39
1772 , INDIVIDUAL , DUCHA , NO , 39
1773 , DOBLE , DUCHA , SI , 39
1774 , DOBLE , DUCHA , NO , 39
1775 , INDIVIDUAL , BAÑERA , NO , 39
1776 , SUITE , JACUZZI , NO , 39
1777 , DOBLE , DUCHA , NO , 39
1778 , INDIVIDUAL , BAÑERA , NO , 39
1779 , TRIPLE , BAÑERA , NO , 39
1780 , INDIVIDUAL , JACUZZI , SI , 39
1781 , DOBLE , DUCHA , NO , 40
1782 , INDIVIDUAL , DUCHA , NO , 40
1783 , DOBLE , DUCHA , NO , 40
1784 , INDIVIDUAL , DUCHA , NO , 40
1785 , TRIPLE , BAÑERA , NO , 40
1786 , DOBLE , DUCHA , NO , 40
1787 , DOBLE , BAÑERA , NO , 40
1788 , DOBLE , DUCHA , NO , 40
1789 , DOBLE , BAÑERA , SI , 40
1790 , DOBLE , BAÑERA , NO , 40
1791 , DOBLE , BAÑERA , SI , 40
1792 , DOBLE , DUCHA , SI , 40
1793 , TRIPLE , DUCHA , NO , 40
1794 , INDIVIDUAL , JACUZZI , NO , 40
1795 , DOBLE , BAÑERA , NO , 40
1796 , SUITE , BAÑERA , NO , 40
1797 , DOBLE , JACUZZI , NO , 40
1798 , TWIN , BAÑERA , NO , 40
1799 , TWIN , BAÑERA , SI , 40
1800 , SUITE , DUCHA , NO , 40
1801 , INDIVIDUAL , DUCHA , NO , 40
1802 , INDIVIDUAL , BAÑERA , NO , 40
1803 , DOBLE , BAÑERA , NO , 40
1804 , DOBLE , BAÑERA , SI , 40
1805 , INDIVIDUAL , JACUZZI , NO , 40
1806 , DOBLE , DUCHA , NO , 40
1807 , INDIVIDUAL , BAÑERA , NO , 40
1808 , INDIVIDUAL , JACUZZI , NO , 40
1809 , DOBLE , JACUZZI , NO , 40
1810 , DOBLE , DUCHA , NO , 40
1811 , DOBLE , DUCHA , NO , 40
1812 , DOBLE , DUCHA , NO , 40
1813 , TWIN , BAÑERA , NO , 40
1814 , INDIVIDUAL , JACUZZI , NO , 40
1815 , TWIN , DUCHA , NO , 40
1816 , DOBLE , DUCHA , NO , 40
1817 , DOBLE , BAÑERA , NO , 40
1818 , TWIN , BAÑERA , NO , 40
1819 , INDIVIDUAL , DUCHA , NO , 40
1820 , INDIVIDUAL , DUCHA , NO , 40
1821 , DOBLE , DUCHA , NO , 41
1822 , DOBLE , DUCHA , SI , 41
1823 , INDIVIDUAL , BAÑERA , SI , 41
1824 , DOBLE , DUCHA , NO , 41
1825 , TRIPLE , DUCHA , NO , 41
1826 , DOBLE , DUCHA , SI , 41
1827 , DOBLE , DUCHA , NO , 41
1828 , DOBLE , DUCHA , NO , 41
1829 , DOBLE , BAÑERA , NO , 41
1830 , DOBLE , BAÑERA , NO , 41
1831 , INDIVIDUAL , DUCHA , NO , 41
1832 , DOBLE , DUCHA , NO , 41
1833 , INDIVIDUAL , BAÑERA , NO , 41
1834 , DOBLE , BAÑERA , NO , 41
1835 , DOBLE , BAÑERA , NO , 41
1836 , DOBLE , DUCHA , NO , 41
1837 , INDIVIDUAL , BAÑERA , NO , 41
1838 , DOBLE , JACUZZI , NO , 41
1839 , DOBLE , DUCHA , NO , 41
1840 , TRIPLE , DUCHA , NO , 41
1841 , INDIVIDUAL , BAÑERA , NO , 41
1842 , INDIVIDUAL , BAÑERA , NO , 41
1843 , DOBLE , BAÑERA , NO , 41
1844 , INDIVIDUAL , BAÑERA , NO , 41
1845 , DOBLE , DUCHA , NO , 41
1846 , INDIVIDUAL , BAÑERA , NO , 41
1847 , DOBLE , DUCHA , NO , 41
1848 , DOBLE , JACUZZI , NO , 41
1849 , DOBLE , BAÑERA , NO , 41
1850 , TWIN , BAÑERA , NO , 41
1851 , DOBLE , BAÑERA , NO , 41
1852 , DOBLE , DUCHA , NO , 41
1853 , DOBLE , BAÑERA , NO , 41
1854 , DOBLE , DUCHA , NO , 41
1855 , INDIVIDUAL , BAÑERA , NO , 41
1856 , INDIVIDUAL , BAÑERA , NO , 41
1857 , DOBLE , BAÑERA , NO , 41
1858 , DOBLE , JACUZZI , NO , 41
1859 , TRIPLE , BAÑERA , SI , 41
1860 , DOBLE , BAÑERA , NO , 41
1861 , DOBLE , BAÑERA , NO , 41
1862 , INDIVIDUAL , DUCHA , NO , 41
1863 , SUITE , BAÑERA , NO , 41
1864 , INDIVIDUAL , BAÑERA , NO , 41
1865 , DOBLE , DUCHA , NO , 41
1866 , DOBLE , BAÑERA , SI , 41
1867 , DOBLE , JACUZZI , SI , 41
1868 , DOBLE , DUCHA , NO , 41
1869 , DOBLE , DUCHA , SI , 41
1870 , INDIVIDUAL , BAÑERA , SI , 41
1871 , TWIN , BAÑERA , NO , 42
1872 , DOBLE , DUCHA , NO , 42
1873 , INDIVIDUAL , DUCHA , NO , 42
1874 , INDIVIDUAL , DUCHA , NO , 42
1875 , DOBLE , BAÑERA , NO , 42
1876 , DOBLE , DUCHA , NO , 42
1877 , DOBLE , BAÑERA , SI , 42
1878 , DOBLE , DUCHA , NO , 42
1879 , INDIVIDUAL , DUCHA , NO , 42
1880 , DOBLE , BAÑERA , NO , 42
1881 , INDIVIDUAL , BAÑERA , NO , 42
1882 , TWIN , DUCHA , NO , 42
1883 , TWIN , JACUZZI , NO , 42
1884 , DOBLE , BAÑERA , NO , 42
1885 , TWIN , DUCHA , SI , 42
1886 , TWIN , BAÑERA , NO , 42
1887 , INDIVIDUAL , BAÑERA , SI , 42
1888 , INDIVIDUAL , DUCHA , NO , 42
1889 , DOBLE , BAÑERA , NO , 42
1890 , DOBLE , BAÑERA , NO , 42
1891 , TWIN , BAÑERA , NO , 42
1892 , INDIVIDUAL , BAÑERA , NO , 42
1893 , INDIVIDUAL , DUCHA , NO , 42
1894 , INDIVIDUAL , BAÑERA , NO , 42
1895 , INDIVIDUAL , DUCHA , NO , 42
1896 , DOBLE , BAÑERA , NO , 42
1897 , INDIVIDUAL , DUCHA , SI , 42
1898 , DOBLE , JACUZZI , NO , 42
1899 , SUITE , BAÑERA , NO , 42
1900 , DOBLE , JACUZZI , SI , 42
1901 , INDIVIDUAL , DUCHA , NO , 42
1902 , DOBLE , BAÑERA , NO , 42
1903 , DOBLE , DUCHA , NO , 42
1904 , INDIVIDUAL , DUCHA , NO , 42
1905 , TWIN , BAÑERA , NO , 42
1906 , DOBLE , DUCHA , SI , 42
1907 , TWIN , DUCHA , NO , 42
1908 , DOBLE , DUCHA , NO , 42
1909 , DOBLE , DUCHA , SI , 42
1910 , TRIPLE , BAÑERA , NO , 42
1911 , INDIVIDUAL , DUCHA , NO , 43
1912 , DOBLE , DUCHA , NO , 43
1913 , DOBLE , BAÑERA , NO , 43
1914 , DOBLE , DUCHA , SI , 43
1915 , INDIVIDUAL , BAÑERA , NO , 43
1916 , INDIVIDUAL , BAÑERA , NO , 43
1917 , INDIVIDUAL , JACUZZI , NO , 43
1918 , DOBLE , BAÑERA , NO , 43
1919 , DOBLE , BAÑERA , NO , 43
1920 , TRIPLE , BAÑERA , NO , 43
1921 , DOBLE , BAÑERA , NO , 43
1922 , SUITE , BAÑERA , NO , 43
1923 , DOBLE , DUCHA , NO , 43
1924 , DOBLE , DUCHA , NO , 43
1925 , DOBLE , DUCHA , NO , 43
1926 , SUITE , BAÑERA , NO , 43
1927 , DOBLE , DUCHA , NO , 43
1928 , DOBLE , JACUZZI , NO , 43
1929 , SUITE , JACUZZI , NO , 43
1930 , SUITE , BAÑERA , NO , 43
1931 , INDIVIDUAL , DUCHA , NO , 43
1932 , DOBLE , BAÑERA , NO , 43
1933 , DOBLE , DUCHA , NO , 43
1934 , DOBLE , BAÑERA , NO , 43
1935 , DOBLE , BAÑERA , NO , 43
1936 , TWIN , BAÑERA , SI , 43
1937 , INDIVIDUAL , DUCHA , NO , 43
1938 , DOBLE , JACUZZI , NO , 43
1939 , DOBLE , DUCHA , NO , 43
1940 , DOBLE , JACUZZI , NO , 43
1941 , INDIVIDUAL , BAÑERA , NO , 44
1942 , INDIVIDUAL , BAÑERA , NO , 44
1943 , DOBLE , DUCHA , NO , 44
1944 , DOBLE , DUCHA , NO , 44
1945 , INDIVIDUAL , BAÑERA , NO , 44
1946 , TWIN , DUCHA , NO , 44
1947 , INDIVIDUAL , DUCHA , NO , 44
1948 , TRIPLE , BAÑERA , NO , 44
1949 , TRIPLE , BAÑERA , SI , 44
1950 , DOBLE , BAÑERA , SI , 44
1951 , INDIVIDUAL , BAÑERA , NO , 44
1952 , DOBLE , BAÑERA , NO , 44
1953 , SUITE , DUCHA , NO , 44
1954 , DOBLE , BAÑERA , NO , 44
1955 , DOBLE , JACUZZI , NO , 44
1956 , INDIVIDUAL , BAÑERA , NO , 44
1957 , DOBLE , DUCHA , NO , 44
1958 , INDIVIDUAL , BAÑERA , NO , 44
1959 , INDIVIDUAL , DUCHA , NO , 44
1960 , INDIVIDUAL , DUCHA , NO , 44
1961 , DOBLE , BAÑERA , NO , 45
1962 , INDIVIDUAL , BAÑERA , NO , 45
1963 , DOBLE , DUCHA , NO , 45
1964 , TWIN , JACUZZI , NO , 45
1965 , DOBLE , DUCHA , NO , 45
1966 , TRIPLE , JACUZZI , SI , 45
1967 , INDIVIDUAL , DUCHA , NO , 45
1968 , DOBLE , BAÑERA , SI , 45
1969 , DOBLE , DUCHA , NO , 45
1970 , INDIVIDUAL , BAÑERA , NO , 45
1971 , INDIVIDUAL , DUCHA , SI , 45
1972 , DOBLE , BAÑERA , NO , 45
1973 , INDIVIDUAL , BAÑERA , SI , 45
1974 , TRIPLE , BAÑERA , NO , 45
1975 , DOBLE , DUCHA , NO , 45
1976 , INDIVIDUAL , BAÑERA , NO , 45
1977 , INDIVIDUAL , JACUZZI , SI , 45
1978 , DOBLE , BAÑERA , NO , 45
1979 , DOBLE , DUCHA , NO , 45
1980 , DOBLE , BAÑERA , NO , 45
1981 , INDIVIDUAL , DUCHA , NO , 45
1982 , DOBLE , DUCHA , NO , 45
1983 , DOBLE , DUCHA , NO , 45
1984 , INDIVIDUAL , BAÑERA , NO , 45
1985 , TWIN , DUCHA , NO , 45
1986 , DOBLE , BAÑERA , NO , 45
1987 , INDIVIDUAL , DUCHA , NO , 45
1988 , DOBLE , BAÑERA , NO , 45
1989 , TWIN , BAÑERA , NO , 45
1990 , DOBLE , JACUZZI , SI , 45
1991 , INDIVIDUAL , BAÑERA , SI , 45
1992 , DOBLE , DUCHA , NO , 45
1993 , INDIVIDUAL , DUCHA , NO , 45
1994 , DOBLE , BAÑERA , NO , 45
1995 , INDIVIDUAL , BAÑERA , NO , 45
1996 , DOBLE , DUCHA , NO , 45
1997 , DOBLE , JACUZZI , NO , 45
1998 , TRIPLE , DUCHA , NO , 45
1999 , DOBLE , DUCHA , NO , 45
2000 , TWIN , BAÑERA , NO , 45
2001 , INDIVIDUAL , BAÑERA , NO , 45
2002 , DOBLE , JACUZZI , SI , 45
2003 , DOBLE , JACUZZI , NO , 45
2004 , TRIPLE , DUCHA , NO , 45
2005 , INDIVIDUAL , DUCHA , NO , 45
2006 , TRIPLE , DUCHA , SI , 45
2007 , TRIPLE , DUCHA , NO , 45
2008 , DOBLE , DUCHA , NO , 45
2009 , DOBLE , DUCHA , NO , 45
2010 , TRIPLE , BAÑERA , SI , 45
2011 , DOBLE , DUCHA , SI , 45
2012 , DOBLE , BAÑERA , NO , 45
2013 , DOBLE , BAÑERA , NO , 45
2014 , DOBLE , DUCHA , NO , 45
2015 , INDIVIDUAL , DUCHA , NO , 45
2016 , INDIVIDUAL , BAÑERA , NO , 45
2017 , INDIVIDUAL , DUCHA , NO , 45
2018 , INDIVIDUAL , BAÑERA , NO , 45
2019 , SUITE , DUCHA , SI , 45
2020 , INDIVIDUAL , DUCHA , NO , 45
2021 , INDIVIDUAL , DUCHA , SI , 45
2022 , DOBLE , BAÑERA , NO , 45
2023 , DOBLE , BAÑERA , SI , 45
2024 , DOBLE , JACUZZI , NO , 45
2025 , SUITE , DUCHA , NO , 45
2026 , TWIN , DUCHA , NO , 45
2027 , DOBLE , DUCHA , NO , 45
2028 , DOBLE , BAÑERA , NO , 45
2029 , DOBLE , BAÑERA , NO , 45
2030 , DOBLE , BAÑERA , NO , 45
2031 , DOBLE , BAÑERA , NO , 46
2032 , DOBLE , JACUZZI , SI , 46
2033 , INDIVIDUAL , DUCHA , NO , 46
2034 , DOBLE , BAÑERA , NO , 46
2035 , DOBLE , DUCHA , NO , 46
2036 , DOBLE , JACUZZI , NO , 46
2037 , DOBLE , DUCHA , NO , 46
2038 , TWIN , DUCHA , NO , 46
2039 , INDIVIDUAL , BAÑERA , NO , 46
2040 , DOBLE , DUCHA , NO , 46
2041 , DOBLE , DUCHA , NO , 46
2042 , INDIVIDUAL , BAÑERA , NO , 46
2043 , DOBLE , DUCHA , NO , 46
2044 , DOBLE , BAÑERA , SI , 46
2045 , DOBLE , DUCHA , SI , 46
2046 , INDIVIDUAL , DUCHA , SI , 46
2047 , DOBLE , BAÑERA , SI , 46
2048 , TWIN , BAÑERA , NO , 46
2049 , DOBLE , DUCHA , NO , 46
2050 , INDIVIDUAL , DUCHA , NO , 46
2051 , INDIVIDUAL , BAÑERA , NO , 46
2052 , DOBLE , BAÑERA , NO , 46
2053 , DOBLE , DUCHA , NO , 46
2054 , DOBLE , DUCHA , SI , 46
2055 , INDIVIDUAL , DUCHA , NO , 46
2056 , INDIVIDUAL , BAÑERA , SI , 46
2057 , TRIPLE , BAÑERA , NO , 46
2058 , DOBLE , BAÑERA , SI , 46
2059 , DOBLE , BAÑERA , NO , 46
2060 , SUITE , BAÑERA , NO , 46
2061 , TWIN , BAÑERA , NO , 46
2062 , INDIVIDUAL , BAÑERA , SI , 46
2063 , DOBLE , DUCHA , NO , 46
2064 , DOBLE , BAÑERA , NO , 46
2065 , DOBLE , BAÑERA , NO , 46
2066 , INDIVIDUAL , DUCHA , NO , 46
2067 , DOBLE , DUCHA , SI , 46
2068 , INDIVIDUAL , BAÑERA , NO , 46
2069 , DOBLE , BAÑERA , NO , 46
2070 , DOBLE , BAÑERA , NO , 46
2071 , TRIPLE , DUCHA , NO , 47
2072 , TWIN , DUCHA , SI , 47
2073 , DOBLE , DUCHA , NO , 47
2074 , DOBLE , JACUZZI , NO , 47
2075 , DOBLE , DUCHA , NO , 47
2076 , TRIPLE , BAÑERA , SI , 47
2077 , INDIVIDUAL , DUCHA , NO , 47
2078 , DOBLE , JACUZZI , NO , 47
2079 , TWIN , BAÑERA , NO , 47
2080 , DOBLE , BAÑERA , NO , 47
2081 , DOBLE , JACUZZI , NO , 47
2082 , INDIVIDUAL , BAÑERA , NO , 47
2083 , INDIVIDUAL , JACUZZI , NO , 47
2084 , INDIVIDUAL , DUCHA , SI , 47
2085 , INDIVIDUAL , BAÑERA , NO , 47
2086 , DOBLE , DUCHA , NO , 47
2087 , INDIVIDUAL , DUCHA , NO , 47
2088 , INDIVIDUAL , JACUZZI , NO , 47
2089 , TRIPLE , BAÑERA , SI , 47
2090 , DOBLE , BAÑERA , NO , 47
2091 , DOBLE , BAÑERA , NO , 47
2092 , TRIPLE , DUCHA , NO , 47
2093 , DOBLE , BAÑERA , NO , 47
2094 , INDIVIDUAL , DUCHA , NO , 47
2095 , INDIVIDUAL , DUCHA , NO , 47
2096 , TWIN , BAÑERA , NO , 47
2097 , INDIVIDUAL , DUCHA , NO , 47
2098 , DOBLE , DUCHA , NO , 47
2099 , TRIPLE , BAÑERA , NO , 47
2100 , DOBLE , DUCHA , NO , 47
2101 , DOBLE , DUCHA , NO , 47
